height,geometry
5,"POLYGON ((245421.96970000025 2551546.3378, 245418.96750000026 2551537.3309000004, 245408.1593000004 2551538.5319, 245408.1593000004 2551546.9382000007, 245413.56340000033 2551547.5386999995, 245421.96970000025 2551546.3378))"
5,"POLYGON ((246746.2207000004 2551551.3872999996, 246747.4216 2551536.976399999, 246734.81209999975 2551537.5768999998, 246734.81209999975 2551550.1864, 246746.2207000004 2551551.3872999996))"
5,"POLYGON ((244545.7603000002 2551546.726500001, 244545.7603000002 2551537.1192000005, 244534.95220000017 2551537.1192000005, 244535.55260000005 2551546.1261, 244545.7603000002 2551546.726500001))"
15,"POLYGON ((244814.16330000013 2551536.5187999997, 244809.35960000008 2551537.1192000005, 244811.1610000003 2551538.3202, 244814.16330000013 2551536.5187999997))"
6,"POLYGON ((245253.99590000045 2551545.225400001, 245249.19230000023 2551536.2185999993, 245231.77909999993 2551541.6227, 245234.78139999975 2551546.4263000004, 245234.78139999975 2551550.028999999, 245235.98230000027 2551550.6295, 245253.99590000045 2551545.225400001))"
4,"POLYGON ((247385.74870000035 2551539.2169000003, 247368.4497999996 2551535.757099999, 247349.23529999983 2551536.9580000006, 247348.63489999995 2551547.1657999996, 247383.4611999998 2551548.366699999, 247385.74870000035 2551539.2169000003))"
13,"POLYGON ((244958.5515999999 2551558.955600001, 244960.92679999955 2551547.5547, 244976.88630000036 2551549.7288000006, 244980.10300000012 2551546.5121, 244976.88630000036 2551534.7173999995, 244945.66270000022 2551538.3202, 244948.06450000033 2551556.333799999, 244958.5515999999 2551558.955600001))"
5,"POLYGON ((246804.80790000036 2551542.4662999995, 246804.80790000036 2551533.9404000007, 246787.0515999999 2551534.5746, 246788.8529000003 2551547.784600001, 246804.80790000036 2551542.4662999995))"
4,"POLYGON ((247346.233 2551570.5834999997, 247348.63489999995 2551554.9716999996, 247345.03210000042 2551548.366699999, 247347.43400000036 2551537.5584999993, 247346.30370000005 2551535.2980000004, 247335.5850999998 2551534.088300001, 247333.62349999975 2551547.1657999996, 247334.82440000027 2551549.5676000006, 247334.2240000004 2551555.5721000005, 247332.42260000017 2551551.368899999, 247331.22169999965 2551551.368899999, 247330.62119999994 2551535.1567, 247320.4134999998 2551536.3575999998, 247323.4157999996 2551574.1862000003, 247330.02080000006 2551574.1862000003, 247346.233 2551570.5834999997), (247328.81989999954 2551550.1679999996, 247330.62119999994 2551550.1679999996, 247330.62119999994 2551550.7685000002, 247328.81989999954 2551550.1679999996))"
5,"POLYGON ((245316.61510000005 2551548.0603, 245327.59090000018 2551546.9628, 245326.3504999997 2551539.5210999995, 245320.3459999999 2551533.5165, 245312.54009999987 2551536.5187999997, 245316.61510000005 2551548.0603))"
6,"POLYGON ((246369.62100000028 2551566.5085000005, 246372.9430999998 2551563.2860000003, 246409.25090000033 2551543.691299999, 246403.2463999996 2551532.8830999993, 246366.01829999965 2551553.2984999996, 246369.02049999963 2551561.7049000002, 246365.41779999994 2551559.303099999, 246364.21690000035 2551555.0999, 246326.38829999976 2551573.7139999997, 246334.34520000033 2551586.3125, 246369.62100000028 2551566.5085000005), (246353.40869999956 2551573.113500001, 246353.40869999956 2551571.3122000005, 246349.20550000016 2551567.1089999992, 246349.80599999987 2551565.307600001, 246354.60960000008 2551570.7117, 246354.60960000008 2551573.113500001, 246353.40869999956 2551573.113500001))"
17,"POLYGON ((247175.79980000015 2551544.9277999997, 247173.9626000002 2551532.0660999995, 247160.1520999996 2551531.4657000005, 247160.75260000024 2551547.0775000006, 247175.79980000015 2551544.9277999997))"
5,"POLYGON ((245176.62660000008 2551564.5988999996, 245176.0066999998 2551530.7443000004, 245163.03149999958 2551533.339400001, 245166.03369999956 2551550.7524999995, 245166.03369999956 2551566.3642999995, 245176.62660000008 2551564.5988999996), (245167.8350999998 2551550.7524999995, 245173.8395999996 2551550.7524999995, 245173.8395999996 2551551.353, 245167.8350999998 2551550.7524999995))"
10,"POLYGON ((245528.10309999995 2551544.9251000006, 245528.70349999983 2551532.3156000003, 245517.8953999998 2551532.3156000003, 245517.2949000001 2551546.1261, 245528.10309999995 2551544.9251000006))"
7,"POLYGON ((246624.32849999983 2551542.3805, 246616.5225999998 2551529.7709999997, 246605.71449999977 2551533.9740999993, 246612.9199000001 2551548.385, 246624.32849999983 2551542.3805))"
17,"POLYGON ((247193.17709999997 2551545.2761000004, 247192.57660000026 2551530.8652, 247176.9648000002 2551533.267000001, 247179.3666000003 2551545.876599999, 247186.57210000046 2551546.477, 247193.17709999997 2551545.2761000004))"
5,"POLYGON ((246085.60620000027 2551542.4903999995, 246084.40529999975 2551534.0840000007, 246074.1975999996 2551529.2804000005, 246070.5948999999 2551530.4813, 246072.39630000014 2551544.8922000006, 246076.59939999972 2551545.4925999995, 246085.60620000027 2551542.4903999995))"
11,"POLYGON ((244718.6911000004 2551537.7196999993, 244718.6911000004 2551528.112400001, 244704.28019999992 2551531.1147000007, 244705.48110000044 2551537.7196999993, 244718.6911000004 2551537.7196999993))"
6,"POLYGON ((246673.56579999998 2551538.7777999993, 246666.96079999954 2551527.3691000007, 246656.15259999968 2551534.5746, 246662.15710000042 2551546.5836999994, 246673.56579999998 2551538.7777999993))"
4,"POLYGON ((244851.39140000008 2551534.7173999995, 244849.58999999985 2551528.7128999997, 244829.7751000002 2551530.5143, 244829.7751000002 2551535.918299999, 244843.58550000004 2551537.7196999993, 244851.39140000008 2551534.7173999995))"
14,"POLYGON ((244937.85680000018 2551556.333799999, 244930.0893000001 2551541.4462, 244936.65589999966 2551538.920600001, 244933.87420000043 2551528.489, 244922.79360000044 2551529.696799999, 244921.09059999976 2551542.2991000004, 244931.02670000028 2551560.2366000004, 244937.85680000018 2551556.333799999))"
4,"POLYGON ((245358.17459999956 2551534.1170000006, 245357.58040000033 2551527.5810000002, 245337.4765999997 2551532.3861999996, 245339.56049999967 2551540.721999999, 245358.17459999956 2551534.1170000006))"
6,"POLYGON ((246282.5552000003 2551536.4858, 246278.95239999983 2551528.079500001, 246265.74239999987 2551534.0840000007, 246269.9456000002 2551543.691299999, 246282.5552000003 2551536.4858))"
6,"POLYGON ((245917.26740000024 2551544.183700001, 245916.66700000037 2551529.7728000004, 245900.45469999965 2551529.7728000004, 245900.45469999965 2551543.5832, 245914.86560000014 2551545.3846000005, 245917.26740000024 2551544.183700001))"
3,"POLYGON ((246208.69930000044 2551534.6844999995, 246205.34580000024 2551526.3007999994, 246191.88659999985 2551532.2827000003, 246193.08750000037 2551538.887700001, 246194.88889999967 2551540.0886000004, 246208.69930000044 2551534.6844999995))"
9,"POLYGON ((245963.50239999965 2551545.0933999997, 245963.50239999965 2551529.1722999997, 245921.00850000046 2551532.1029000003, 245922.0798000004 2551545.493899999, 245932.78230000008 2551543.888699999, 245963.50239999965 2551545.0933999997))"
6,"POLYGON ((245244.9890999999 2551532.6159000006, 245243.7882000003 2551526.0109, 245228.7768000001 2551529.0131, 245233.15699999966 2551536.3133000005, 245244.9890999999 2551532.6159000006))"
5,"POLYGON ((245895.65110000037 2551541.7819, 245894.45019999985 2551529.1722999997, 245876.43649999984 2551528.571900001, 245876.43649999984 2551541.7819, 245895.65110000037 2551541.7819))"
5,"POLYGON ((247012.32990000024 2551536.622199999, 247013.53079999983 2551533.0195000004, 247013.53079999983 2551526.4145, 246999.7204 2551528.2158000004, 247000.32079999987 2551535.4212999996, 247012.32990000024 2551536.622199999))"
6,"POLYGON ((247033.94620000012 2551539.024, 247034.54669999983 2551525.8139999993, 247021.33669999987 2551526.4145, 247021.33669999987 2551539.024, 247033.94620000012 2551539.024))"
14,"POLYGON ((244917.4413999999 2551535.918299999, 244916.24039999954 2551525.7106, 244904.8317999998 2551526.3111000005, 244904.8317999998 2551536.5187999997, 244917.4413999999 2551535.918299999))"
13,"POLYGON ((244761.32330000028 2551552.1306, 244761.9238 2551551.530099999, 244761.9238 2551552.1306, 244761.32330000028 2551552.1306, 244758.32100000046 2551555.7333000004, 244753.87119999994 2551556.623299999, 244756.15689999983 2551583.2896, 244754.4693 2551583.1445000004, 244755.54110000003 2551605.6535, 244774.49320000038 2551604.5764000006, 244776.31329999957 2551593.706700001, 244768.22649999987 2551591.6850000005, 244769.7263000002 2551569.9395000003, 244773.34229999967 2551546.4353, 244761.32330000028 2551544.3246999998, 244762.52419999987 2551542.5232999995, 244777.23849999998 2551543.8608999997, 244780.32299999986 2551535.809800001, 244776.33469999954 2551524.5097000003, 244753.39719999954 2551529.9137999993, 244734.81209999975 2551528.789000001, 244723.36340000015 2551529.424900001, 244722.0672000004 2551542.3873999994, 244719.892 2551544.9251000006, 244720.68850000016 2551552.8910000008, 244721.71750000026 2551553.9213999994, 244723.64969999995 2551580.3274000008, 244744.8108000001 2551576.986199999, 244744.8108000001 2551572.6532000005, 244734.90330000035 2551571.9455999993, 244737.90560000017 2551569.5438, 244745.27390000038 2551568.9297, 244745.1200000001 2551565.6095000003, 244749.3141999999 2551550.9297, 244751.11560000014 2551551.530099999, 244752.91700000037 2551554.532400001, 244758.32100000046 2551553.932, 244758.32100000046 2551552.7310000006, 244761.32330000028 2551552.1306), (244735.50380000006 2551559.9365, 244733.10199999996 2551559.9365, 244733.70239999983 2551550.3291999996, 244736.70469999965 2551550.9297, 244735.50380000006 2551559.9365), (244740.9079 2551549.7288000006, 244741.50829999987 2551549.7288000006, 244741.50829999987 2551550.3291999996, 244740.9079 2551549.7288000006), (244730.70019999985 2551549.7288000006, 244730.70019999985 2551550.9297, 244725.8964999998 2551550.3291999996, 244730.70019999985 2551549.7288000006), (244735.50380000006 2551573.1465000007, 244734.30289999954 2551577.3497, 244733.10199999996 2551573.1465000007, 244735.50380000006 2551573.1465000007), (244724.09520000033 2551541.3224, 244723.4946999997 2551541.9229000006, 244723.4946999997 2551541.3224, 244724.09520000033 2551541.3224, 244724.09520000033 2551540.1215000004, 244737.1116000004 2551538.3466, 244740.09729999956 2551544.3246999998, 244743.3097000001 2551544.3246999998, 244741.50829999987 2551546.1261, 244737.90560000017 2551545.5255999994, 244735.50380000006 2551541.3224, 244724.09520000033 2551541.3224), (244751.11560000014 2551536.5187999997, 244753.51740000024 2551536.5187999997, 244751.11560000014 2551542.5232999995, 244748.71380000003 2551543.724199999, 244751.11560000014 2551536.5187999997), (244736.70469999965 2551535.3179, 244736.70469999965 2551536.5187999997, 244736.70469999965 2551535.3179, 244736.70469999965 2551535.3179), (244754.71829999983 2551534.1170000006, 244756.51970000006 2551534.1170000006, 244755.91920000035 2551535.918299999, 244754.71829999983 2551534.1170000006), (244736.70469999965 2551531.7151999995, 244737.3052000003 2551531.7151999995, 244737.3052000003 2551532.3156000003, 244736.70469999965 2551531.7151999995))"
3,"POLYGON ((245126.99980000034 2551534.1169000007, 245126.99980000034 2551525.7105, 245110.7876000004 2551528.7128, 245111.98849999998 2551536.5187, 245126.99980000034 2551534.1169000007))"
6,"POLYGON ((245450.4852 2551541.224199999, 245444.03949999996 2551525.110200001, 245436.23359999992 2551525.7106, 245436.23359999992 2551541.7909999993, 245450.4852 2551541.224199999))"
6,"POLYGON ((245425.57249999978 2551535.5296, 245427.37380000018 2551528.324100001, 245426.17289999966 2551525.321900001, 245411.16160000023 2551525.321900001, 245411.9467000002 2551535.5296, 245425.57249999978 2551535.5296))"
14,"POLYGON ((244976.28579999972 2551531.7151999995, 244975.08490000013 2551523.3088000007, 244963.6763000004 2551526.9114999995, 244961.2745000003 2551529.9137999993, 244957.07129999995 2551530.5143, 244958.27219999954 2551533.5165, 244969.08040000033 2551534.1170000006, 244976.28579999972 2551531.7151999995))"
9,"POLYGON ((245812.18800000008 2551551.989600001, 245810.38659999985 2551526.1700999998, 245785.23180000018 2551526.1700999998, 245788.4205 2551553.1213000007, 245812.18800000008 2551551.989600001))"
13,"POLYGON ((245031.67480000015 2551538.6075999998, 245049.9380999999 2551533.626599999, 245048.49880000018 2551522.3258999996, 245027.92489999998 2551528.112400001, 245031.67480000015 2551538.6075999998))"
4,"POLYGON ((245145.0133999996 2551531.114600001, 245144.4129999997 2551523.9091, 245131.20299999975 2551525.7105, 245131.20299999975 2551531.7150999997, 245145.0133999996 2551531.114600001))"
16,"POLYGON ((245999.1409 2551532.8830999993, 245999.1409 2551523.275800001, 245989.53359999973 2551523.8762999997, 245990.13410000037 2551532.8830999993, 245999.1409 2551532.8830999993))"
5,"POLYGON ((246143.24980000034 2551534.0840000007, 246143.24980000034 2551524.4768000003, 246125.23620000016 2551523.8762999997, 246126.92040000018 2551537.3499, 246143.24980000034 2551534.0840000007))"
3,"POLYGON ((246639.94159999955 2551535.1742000002, 246646.24239999987 2551531.3937999997, 246642.34219999984 2551521.364600001, 246635.73720000032 2551525.5678000003, 246638.7394000003 2551534.5746, 246639.94159999955 2551535.1742000002))"
4,"POLYGON ((247371.45210000034 2551532.1544000003, 247370.85170000046 2551523.7480999995, 247335.42489999998 2551521.9466999993, 247336.02529999986 2551533.3553, 247343.23080000002 2551533.9558000006, 247371.45210000034 2551532.1544000003), (247351.63709999993 2551525.5494, 247352.83800000045 2551525.5494, 247352.83800000045 2551528.5516999997, 247351.63709999993 2551527.951199999, 247351.63709999993 2551525.5494))"
5,"POLYGON ((244548.76260000002 2551531.1147000007, 244548.76260000002 2551523.9092999995, 244537.5541000003 2551523.9092999995, 244536.75349999964 2551526.3111000005, 244537.95440000016 2551532.3156000003, 244548.76260000002 2551531.1147000007))"
3,"POLYGON ((245176.2413999997 2551528.535700001, 245175.04050000012 2551521.3302999996, 245164.83279999997 2551523.7321000006, 245165.62289999984 2551530.0526, 245176.2413999997 2551528.535700001))"
10,"POLYGON ((245538.3108000001 2551526.9114999995, 245535.90899999999 2551520.306500001, 245525.70129999984 2551520.9069999997, 245527.13179999962 2551528.774599999, 245538.3108000001 2551526.9114999995))"
3,"POLYGON ((244791.0421000002 2551552.4122, 244790.1451000003 2551547.9274000004, 244795.54920000024 2551546.726500001, 244794.34829999972 2551546.1261, 244802.15419999976 2551544.3246999998, 244802.75459999964 2551538.920600001, 244806.70079999976 2551537.9342, 244806.0482999999 2551524.772399999, 244797.7712000003 2551521.8170999996, 244782.66849999968 2551524.1855999995, 244782.66849999968 2551546.889799999, 244781.13829999976 2551547.3269999996, 244782.65660000034 2551551.8817999996, 244791.0421000002 2551552.4122), (244803.95550000016 2551537.1192000005, 244804.55599999987 2551537.1192000005, 244804.55599999987 2551537.7196999993, 244803.95550000016 2551537.1192000005), (244790.1451000003 2551535.3179, 244793.7478 2551535.918299999, 244793.14740000013 2551536.5187999997, 244790.1451000003 2551535.3179))"
15,"POLYGON ((246749.22300000023 2551529.170499999, 246745.0197999999 2551520.1636999995, 246737.21389999986 2551520.1636999995, 246737.21389999986 2551530.3714000005, 246742.61799999978 2551530.9718999993, 246749.22300000023 2551529.170499999))"
11,"POLYGON ((245852.22420000006 2551553.1005000006, 245853.3214999996 2551536.9767000005, 245852.72420000006 2551520.8512999993, 245828.40020000003 2551523.1678, 245828.40020000003 2551552.465399999, 245852.22420000006 2551553.1005000006))"
7,"POLYGON ((246400.93310000002 2551530.0579000004, 246395.44049999956 2551519.0726999994, 246320.38379999995 2551562.9058, 246324.90809999965 2551572.673699999, 246400.93310000002 2551530.0579000004), (246357.0114000002 2551543.691299999, 246357.6118999999 2551541.8899000008, 246360.61419999972 2551548.4948999994, 246357.0114000002 2551543.691299999))"
5,"POLYGON ((246801.46250000037 2551527.9695999995, 246800.86199999973 2551518.362299999, 246784.64979999978 2551518.362299999, 246785.25019999966 2551529.170499999, 246801.46250000037 2551527.9695999995))"
13,"POLYGON ((244701.2779000001 2551552.1306, 244700.07699999958 2551525.110200001, 244694.07249999978 2551524.5097000003, 244694.07249999978 2551522.1078999992, 244697.0747999996 2551521.1071000006, 244697.0747999996 2551517.1542000007, 244694.07249999978 2551517.9047, 244694.07249999978 2551519.1055999994, 244682.6638000002 2551520.306500001, 244682.6638000002 2551538.920600001, 244689.43699999992 2551554.4988, 244701.2779000001 2551552.1306), (244694.67289999966 2551538.920600001, 244694.67289999966 2551537.7196999993, 244698.27560000028 2551537.7196999993, 244698.27560000028 2551538.920600001, 244694.67289999966 2551538.920600001), (244691.67059999984 2551538.3202, 244688.66839999985 2551538.3202, 244688.66839999985 2551537.7196999993, 244691.67059999984 2551538.3202))"
12,"POLYGON ((244718.09059999976 2551523.3088000007, 244716.2893000003 2551517.304300001, 244704.28019999992 2551519.7061, 244704.8805999998 2551525.7106, 244710.88520000037 2551526.3111000005, 244718.09059999976 2551523.3088000007))"
13,"POLYGON ((244745.11110000033 2551522.7083, 244747.51290000044 2551517.9047, 244727.09740000032 2551523.3088000007, 244728.2982999999 2551525.7106, 244732.50150000025 2551526.9114999995, 244745.11110000033 2551522.7083))"
3,"POLYGON ((246026.76169999968 2551531.6821999997, 246027.96270000003 2551529.8807999995, 246026.76169999968 2551517.8718, 246015.95359999966 2551518.4722000007, 246015.95359999966 2551530.4813, 246026.76169999968 2551531.6821999997))"
3,"POLYGON ((246096.41440000013 2551520.273600001, 246095.81400000025 2551517.8718, 246090.40990000032 2551518.4722000007, 246090.40990000032 2551519.6731000002, 246087.40759999957 2551520.273600001, 246087.40759999957 2551522.6754, 246096.41440000013 2551520.273600001))"
7,"POLYGON ((246432.66870000027 2551528.6799, 246429.0658999998 2551517.8718, 246406.24870000035 2551531.0818000007, 246412.25320000015 2551541.2895, 246432.66870000027 2551528.6799))"
5,"POLYGON ((247068.17210000008 2551532.4189999998, 247067.5717000002 2551527.6153999995, 247063.96889999975 2551525.8139999993, 247065.16980000027 2551524.6130999997, 247068.17210000008 2551524.6130999997, 247068.7725999998 2551516.8071999997, 247041.75210000016 2551517.4077000003, 247041.75210000016 2551535.4212999996, 247066.97119999956 2551535.4212999996, 247068.17210000008 2551532.4189999998))"
5,"POLYGON ((247110.20390000008 2551534.820800001, 247109.60340000037 2551518.0080999993, 247071.77479999978 2551517.4077000003, 247072.37530000042 2551535.4212999996, 247096.99390000012 2551535.4212999996, 247096.99390000012 2551528.816299999, 247098.1947999997 2551530.0172000006, 247098.1947999997 2551535.4212999996, 247110.20390000008 2551534.820800001))"
4,"POLYGON ((247332.01539999992 2551531.4297, 247329.6135999998 2551517.0187999997, 247320.00629999954 2551518.8202, 247320.60680000018 2551532.030200001, 247326.6113 2551532.6306, 247332.01539999992 2551531.4297))"
5,"POLYGON ((246785.27830000035 2551535.342599999, 246782.24789999984 2551517.1613999996, 246768.4375 2551515.9605, 246764.40589999966 2551534.1028000005, 246778.04480000027 2551536.3759000003, 246785.27830000035 2551535.342599999))"
11,"POLYGON ((247143.82930000033 2551525.8139999993, 247143.22890000045 2551525.8139999993, 247143.82930000033 2551525.8139999993, 247146.6327999998 2551519.506100001, 247136.68539999984 2551520.696799999, 247138.4252000004 2551528.816299999, 247136.09009999968 2551528.1491, 247131.82019999996 2551522.8116999995, 247131.82019999996 2551524.012700001, 247130.61930000037 2551524.012700001, 247130.61930000037 2551522.8116999995, 247131.82019999996 2551522.8116999995, 247131.82019999996 2551519.8094999995, 247114.40710000042 2551516.8071999997, 247116.2083999999 2551536.622199999, 247154.03699999955 2551536.0217000004, 247153.43659999967 2551527.6153999995, 247143.82930000033 2551525.8139999993), (247130.61930000037 2551520.4099000003, 247131.21980000008 2551520.4099000003, 247131.21980000008 2551521.010399999, 247130.61930000037 2551520.4099000003))"
4,"POLYGON ((245077.1621000003 2551522.7083, 245074.7603000002 2551514.9024, 245066.35390000045 2551518.5052000005, 245070.55709999986 2551526.3111000005, 245077.1621000003 2551522.7083))"
5,"POLYGON ((245353.97140000015 2551520.9069999997, 245352.16999999993 2551514.301999999, 245333.55599999987 2551519.7061, 245337.92289999966 2551526.2564000003, 245353.97140000015 2551520.9069999997))"
6,"POLYGON ((246274.14879999962 2551525.6777, 246269.34520000033 2551514.8695, 246257.33609999996 2551520.273600001, 246262.74019999988 2551531.0818000007, 246274.14879999962 2551525.6777))"
15,"POLYGON ((245322.1473000003 2551513.7015000004, 245319.1451000003 2551516.1033999994, 245322.1473000003 2551520.306500001, 245323.9486999996 2551520.306500001, 245322.1473000003 2551513.7015000004))"
4,"POLYGON ((246203.2951999996 2551525.0771999992, 246200.2929999996 2551514.2689999994, 246185.44409999996 2551522.3685, 246186.48249999993 2551528.079500001, 246188.28390000015 2551529.2804000005, 246203.2951999996 2551525.0771999992))"
5,"POLYGON ((246697.58389999997 2551525.5678000003, 246690.97890000045 2551512.9582, 246678.3694000002 2551522.5655000005, 246684.8543999996 2551531.932600001, 246697.58389999997 2551525.5678000003))"
5,"POLYGON ((244649.03839999996 2551529.3133000005, 244649.63889999967 2551518.5052000005, 244644.23479999974 2551518.5052000005, 244644.83519999962 2551515.5029000007, 244646.63659999985 2551516.1033999994, 244647.23709999956 2551513.1010999996, 244642.43340000045 2551513.7015000004, 244643.63430000003 2551529.9137999993, 244649.03839999996 2551529.3133000005))"
12,"POLYGON ((244759.52190000005 2551521.5074000005, 244759.52190000005 2551517.9047, 244758.32100000046 2551517.9047, 244757.72059999965 2551513.1010999996, 244752.31649999972 2551515.5029000007, 244753.51740000024 2551522.7083, 244759.52190000005 2551521.5074000005))"
5,"POLYGON ((245244.9890999999 2551519.4058999997, 245244.38860000018 2551512.800899999, 245229.37729999982 2551515.803200001, 245230.57820000034 2551523.0086000003, 245244.9890999999 2551519.4058999997))"
16,"POLYGON ((246061.58810000028 2551522.6754, 246060.98759999964 2551513.6686000004, 246052.58129999973 2551514.8695, 246053.1816999996 2551520.874, 246061.58810000028 2551522.6754))"
5,"POLYGON ((244566.17580000032 2551520.9069999997, 244563.77390000038 2551512.500600001, 244555.96800000034 2551515.5029000007, 244556.56850000005 2551522.7083, 244566.17580000032 2551520.9069999997))"
15,"POLYGON ((246981.56630000006 2551544.1807000004, 246982.76499999966 2551525.0019000005, 246913.71279999986 2551523.2005000003, 246911.3644000003 2551520.2649000008, 246889.52020000014 2551520.2649000008, 246888.4938000003 2551513.5932, 246855.46879999992 2551513.5932, 246857.87060000002 2551528.0041000005, 246887.29279999994 2551529.8055000007, 246861.47329999972 2551534.0087, 246862.8359000003 2551544.9098000005, 246888.4938000003 2551544.2163999993, 246889.69469999988 2551521.9996000007, 246891.49600000028 2551523.2005000003, 246890.87689999957 2551545.490599999, 246981.56630000006 2551544.1807000004), (246935.32919999957 2551535.8100000005, 246928.72420000006 2551535.2095999997, 246934.12829999998 2551533.4081999995, 246935.32919999957 2551535.8100000005), (246949.74010000005 2551535.8100000005, 246951.54140000045 2551535.8100000005, 246951.54140000045 2551536.4104999993, 246949.74010000005 2551535.8100000005), (246956.94550000038 2551529.8055000007, 246956.94550000038 2551530.4059999995, 246956.94550000038 2551529.8055000007, 246956.94550000038 2551529.8055000007), (246869.27919999976 2551524.4014, 246868.67879999988 2551524.4014, 246868.67879999988 2551523.801000001, 246869.27919999976 2551524.4014))"
24,"POLYGON ((247251.48330000043 2551530.7601999994, 247253.8850999996 2551512.1460999995, 247231.66830000002 2551513.346999999, 247234.67059999984 2551533.7623999994, 247251.48330000043 2551530.7601999994))"
16,"POLYGON ((246042.9740000004 2551527.4790000003, 246043.7078999998 2551513.5363, 246033.96719999984 2551513.5374999996, 246033.96719999984 2551528.079500001, 246037.56989999954 2551528.6799, 246042.9740000004 2551527.4790000003))"
15,"POLYGON ((245173.8395999996 2551520.1294, 245173.8395999996 2551511.7229999993, 245164.83279999997 2551512.9239000008, 245164.83279999997 2551520.729800001, 245173.8395999996 2551520.1294))"
5,"POLYGON ((245427.97429999989 2551519.9178, 245427.97429999989 2551510.9110000003, 245414.1638000002 2551511.5113999993, 245413.56340000033 2551519.3172999993, 245420.76879999973 2551520.5182000007, 245427.97429999989 2551519.9178))"
8,"POLYGON ((246606.31489999965 2551526.1681999993, 246608.71669999976 2551526.1681999993, 246609.3172000004 2551522.5655000005, 246602.11170000024 2551516.5610000007, 246602.11170000024 2551514.7596000005, 246597.30810000002 2551509.9560000002, 246580.3219999997 2551517.2358, 246586.62590000033 2551534.0438, 246606.31489999965 2551526.1681999993))"
6,"POLYGON ((244638.83069999982 2551529.9137999993, 244638.2302000001 2551510.6993000004, 244629.22339999955 2551511.2996999994, 244629.22339999955 2551529.3133000005, 244638.83069999982 2551529.9137999993))"
6,"POLYGON ((246665.15940000024 2551523.1659999993, 246657.9539999999 2551509.3554999996, 246645.94489999954 2551515.9605, 246653.75079999957 2551530.3714000005, 246665.15940000024 2551523.1659999993))"
13,"POLYGON ((244884.01609999966 2551538.920600001, 244895.2246000003 2551534.7173999995, 244889.21999999974 2551522.1078999992, 244886.21769999992 2551521.5074000005, 244888.01910000015 2551516.7038000003, 244886.81819999963 2551516.1033999994, 244887.41870000027 2551514.301999999, 244878.26169999968 2551514.301999999, 244877.8114 2551510.6993000004, 244867.00320000015 2551508.8979, 244867.60369999986 2551514.9024, 244873.69340000022 2551514.5218, 244880.37459999975 2551538.920600001, 244884.01609999966 2551538.920600001), (244885.01680000033 2551519.7061, 244884.41640000045 2551519.1055999994, 244885.01680000033 2551519.1055999994, 244885.01680000033 2551519.7061, 244885.61730000004 2551520.306500001, 244885.01680000033 2551520.306500001, 244885.01680000033 2551519.7061))"
4,"POLYGON ((246143.85030000005 2551519.0726999994, 246143.85030000005 2551510.6663000006, 246129.43939999957 2551510.6663000006, 246129.43939999957 2551517.8718, 246140.24760000035 2551520.273600001, 246143.85030000005 2551519.0726999994))"
6,"POLYGON ((246243.36909999978 2551536.1751000006, 246254.93429999985 2551528.079500001, 246247.1283999998 2551509.465399999, 246236.92059999984 2551514.2689999994, 246235.11930000037 2551522.6754, 246243.36909999978 2551536.1751000006))"
13,"POLYGON ((245583.82270000037 2551524.0473999996, 245582.14389999956 2551509.498400001, 245556.32440000027 2551511.9002, 245554.62009999994 2551526.1021999996, 245583.82270000037 2551524.0473999996))"
5,"POLYGON ((247374.45440000016 2551520.145300001, 247373.85390000045 2551509.337200001, 247335.64960000012 2551509.337200001, 247336.25 2551518.8926999997, 247374.45440000016 2551520.145300001))"
13,"POLYGON ((244917.4413999999 2551522.7083, 244916.87289999984 2551509.0647, 244904.21040000021 2551508.4153000005, 244904.8317999998 2551522.7083, 244917.4413999999 2551522.7083))"
12,"POLYGON ((245551.53309999965 2551524.6587000005, 245549.98709999956 2551506.104699999, 245525.10080000013 2551509.498400001, 245525.70129999984 2551517.9047, 245538.3108000001 2551519.7061, 245539.8384999996 2551525.817, 245551.53309999965 2551524.6587000005))"
11,"POLYGON ((245605.28419999965 2551523.4844000004, 245602.65899999999 2551508.2656999994, 245588.7489 2551508.8979, 245594.15299999993 2551525.7106, 245605.28419999965 2551523.4844000004))"
5,"POLYGON ((246711.53689999972 2551516.9137999993, 246706.24789999984 2551507.0395, 246694.58169999998 2551509.9560000002, 246699.98570000008 2551520.7641000003, 246711.53689999972 2551516.9137999993))"
9,"POLYGON ((245457.84999999963 2551520.9069999997, 245461.29459999967 2551510.572899999, 245436.83409999963 2551508.2974999994, 245438.63540000003 2551519.1055999994, 245457.84999999963 2551520.9069999997))"
17,"POLYGON ((246220.55979999993 2551521.278000001, 246214.70390000008 2551508.2644999996, 246202.0943 2551513.6686000004, 246210.75050000008 2551529.705499999, 246220.55979999993 2551521.278000001))"
15,"POLYGON ((246743.21839999966 2551512.9582, 246743.21839999966 2551506.9537000004, 246737.21389999986 2551507.554199999, 246737.81429999974 2551513.558700001, 246743.21839999966 2551512.9582))"
5,"POLYGON ((244825.84190000035 2551532.4199, 244824.97080000024 2551516.1785000004, 244820.5571999997 2551505.6744999997, 244812.6523000002 2551508.6389000006, 244814.7637 2551535.918299999, 244825.84190000035 2551532.4199), (244815.36419999972 2551516.7038000003, 244815.36419999972 2551515.5029000007, 244818.96690000035 2551516.7038000003, 244817.76599999983 2551517.9047, 244815.36419999972 2551516.7038000003))"
