height,geometry
5,"POLYGON ((244512.73539999966 2551673.2148, 244520.23139999993 2551673.7775, 244524.78089999966 2551672.6402000003, 244521.14169999957 2551660.8127999995, 244512.73539999966 2551660.2123000007, 244512.73539999966 2551673.2148))"
5,"POLYGON ((245250.09289999958 2551668.0182000007, 245247.56819999963 2551659.8128999993, 245227.39809999987 2551666.1678, 245229.6774000004 2551676.4245999996, 245233.28019999992 2551678.2259, 245250.09289999958 2551668.0182000007))"
8,"POLYGON ((246801.46250000037 2551672.6789999995, 246794.25700000022 2551658.8685999997, 246781.04700000025 2551666.073999999, 246786.45110000018 2551679.8845000006, 246801.46250000037 2551672.6789999995))"
15,"POLYGON ((247208.07789999992 2551674.7266000006, 247204.90749999974 2551661.5165999997, 247199.67150000017 2551661.5165999997, 247199.0711000003 2551665.1193000004, 247202.6738 2551666.3203, 247202.6738 2551667.5211999994, 247196.06879999954 2551669.9230000004, 247197.48359999992 2551676.9968, 247208.07789999992 2551674.7266000006))"
4,"POLYGON ((244573.23730000015 2551671.664000001, 244573.8406999996 2551661.605900001, 244564.92619999964 2551659.9850999992, 244559.57079999987 2551668.0182000007, 244559.57079999987 2551670.42, 244567.3766999999 2551673.4222999997, 244573.23730000015 2551671.664000001))"
6,"POLYGON ((246680.17080000043 2551671.4781, 246674.76669999957 2551658.268100001, 246662.15710000042 2551663.6722, 246665.15940000024 2551673.879899999, 246668.16170000006 2551676.882200001, 246680.17080000043 2551671.4781))"
3,"POLYGON ((244820.16779999994 2551666.8172999993, 244820.16779999994 2551658.4110000003, 244814.75879999995 2551660.5745, 244809.09869999997 2551660.1261, 244809.06819999963 2551667.4014999997, 244820.16779999994 2551666.8172999993))"
10,"POLYGON ((246040.5722000003 2551672.788899999, 246033.36670000013 2551658.9784999993, 246029.6026999997 2551660.3227999993, 246018.95579999965 2551669.7865999993, 246022.5586000001 2551680.594799999, 246040.5722000003 2551672.788899999))"
4,"POLYGON ((244852.20390000008 2551689.092, 244852.72059999965 2551657.5439999998, 244839.01040000003 2551658.5232999995, 244839.49299999978 2551663.8312999997, 244836.52770000044 2551663.7117999997, 244817.0652999999 2551671.6689, 244821.52660000045 2551684.183599999, 244852.20390000008 2551689.092))"
5,"POLYGON ((245272.91009999998 2551664.4155, 245267.50600000005 2551657.8104999997, 245257.89879999962 2551666.2169000003, 245259.09970000014 2551675.824100001, 245272.91009999998 2551664.4155))"
6,"POLYGON ((246851.3002000004 2551667.2749000005, 246844.69519999996 2551656.4667000007, 246834.48739999998 2551661.8707999997, 246839.09350000042 2551673.057, 246851.3002000004 2551667.2749000005))"
4,"POLYGON ((247024.93939999957 2551669.3225, 247025.5399000002 2551657.3134000003, 247006.92580000032 2551659.7152999993, 247006.92580000032 2551672.3247999996, 247024.93939999957 2551669.3225))"
6,"POLYGON ((245382.19269999955 2551669.2191000003, 245380.99179999996 2551656.0090999994, 245367.18140000012 2551659.0113999993, 245367.18140000012 2551669.2191000003, 245382.19269999955 2551669.2191000003))"
3,"POLYGON ((247050.75889999978 2551670.5233999994, 247050.1584999999 2551656.1125000007, 247034.54669999983 2551657.3134000003, 247036.11180000007 2551672.9645000007, 247050.75889999978 2551670.5233999994))"
6,"POLYGON ((244509.73309999984 2551668.6186999995, 244507.9316999996 2551657.210000001, 244495.3222000003 2551656.6096, 244497.12359999958 2551668.6186999995, 244504.92949999962 2551669.819599999, 244509.73309999984 2551668.6186999995))"
6,"POLYGON ((246324.3245000001 2551667.0328, 246318.3200000003 2551655.0237000007, 246307.51180000044 2551661.6286999993, 246311.71499999985 2551672.4367999993, 246324.3245000001 2551667.0328))"
5,"POLYGON ((246444.67769999988 2551666.1839000005, 246445.8786000004 2551660.7797999997, 246443.97580000013 2551657.7353000008, 246423.79330000002 2551663.2397000007, 246407.5826000003 2551669.3187000006, 246413.45409999974 2551681.7957000006, 246444.67769999988 2551666.1839000005))"
17,"POLYGON ((247107.85560000036 2551670.4464999996, 247107.20160000026 2551656.7129999995, 247087.98709999956 2551656.7129999995, 247087.40600000042 2551671.2398000006, 247107.85560000036 2551670.4464999996))"
6,"POLYGON ((247140.2265999997 2551669.3225, 247135.42300000042 2551655.5121, 247117.4093000004 2551656.1125000007, 247119.81120000035 2551668.722100001, 247140.2265999997 2551669.3225))"
